Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident,Accident.Severity
AERO COMMANDER 100,37,37,6.0,6.0,16.0,35.0,AERO COMMANDER,0.16216216216216217,Low
CESSNA 152II,37,36,0.0,0.0,6.0,43.0,CESSNA,0.0,Low
CESSNA 414A,37,36,38.0,38.0,9.0,52.0,CESSNA,1.0555555555555556,High
PIPER PA24,37,37,13.0,13.0,4.0,42.0,PIPER,0.35135135135135137,Medium
MAULE M-4-220C,36,36,2.0,2.0,5.0,52.0,MAULE,0.05555555555555555,Low
BELL 47G-2,36,36,5.0,5.0,11.0,43.0,BELL,0.1388888888888889,Low
BEECH A23-24,36,36,12.0,12.0,15.0,58.0,BEECH,0.3333333333333333,Medium
LUSCOMBE 8F,35,35,4.0,4.0,10.0,32.0,LUSCOMBE,0.11428571428571428,Low
BEECH P35,35,34,21.0,21.0,10.0,28.0,BEECH,0.6176470588235294,High
ERCOUPE 415-C,35,35,11.0,11.0,7.0,25.0,ERCOUPE,0.3142857142857143,Medium
CESSNA T206H,35,35,17.0,17.0,8.0,48.0,CESSNA,0.4857142857142857,Medium
CESSNA T182T,35,35,13.0,13.0,2.0,45.0,CESSNA,0.37142857142857144,Medium
HUGHES 369HS,35,35,15.0,15.0,9.0,45.0,HUGHES,0.42857142857142855,Medium
ENSTROM F-28C,34,33,2.0,2.0,4.0,50.0,ENSTROM,0.06060606060606061,Low
BEECH 95-C55,34,34,22.0,22.0,8.0,33.0,BEECH,0.6470588235294118,High
LET BLANIK L-13,34,34,0.0,0.0,6.0,38.0,LET,0.0,Low
RYAN NAVION,34,34,8.0,8.0,17.0,35.0,RYAN,0.23529411764705882,Medium
